"word";"freq"
"hs_appel";6
"hs_tache";4
"sv000805";3
"gmp_eigen_agent";2
"gmp_eigen_agent_wsresp";2
"gmp_systeme";2
"gmp_system";1
"hs_proprietaireadhere";1
"﻿sv000805";1
