Intervals,Id,PK__Interval__3214EC07864B22B6,741577680,2017-05-30 15:52:11.510,2017-05-30 15:52:11.510,1
Links,LinkZoneId,PK__Links__FF7285C029131422,773577794,2017-05-30 15:52:11.523,2017-05-30 15:52:11.523,1
VersionInfo,Version,PK__VersionI__0F540135E4F8E39F,805577908,2017-05-30 15:52:11.527,2017-05-30 15:52:11.527,1
Zones,Id,PK__Zones__3214EC07571F21A8,837578022,2017-05-30 15:52:11.530,2017-05-30 15:52:11.530,1
