9,DWQueue,4,0
32767,Resource DB,2883,22
3,model,4,0
12,TileboardDemo,1078,8
6,ReportServerTempDB,37,0
7,DWDiagnostics,4,0
1,master,166,1
10,TileboardLocator,277,2
4,msdb,9,0
5,ReportServer,105,0
2,tempdb,95,0
11,WxTileBoardTools,251,1
8,DWConfiguration,4,0
