CALC_LAST_VALUE_MDEs_PLB,1378103950,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:48.060,2016-07-21 18:22:41.640
CALC_LAST_VALUE_MDEs_PLI,1394104007,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:48.100,2015-05-10 09:40:48.100
CALC_LAST_VALUE_PLB,354100302,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.063,2016-07-21 18:22:41.680
CALC_LAST_VALUE_PLI,370100359,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.100,2015-05-10 09:40:45.100
CALC_LAST_VALUE_STRING_PLB,62623266,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:50.387,2017-01-27 11:38:46.773
CALC_MDE_BY_MDE_PLI,1118627028,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:53.940,2015-05-10 09:40:53.940
CALC_SPEED_COUNT_ABS_PLI,331864249,FN,SQL_SCALAR_FUNCTION,2016-07-21 18:22:45.540,2016-07-21 18:22:45.540
CALC_SPEED_COUNT_PLB,562101043,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.540,2016-07-21 18:22:41.750
CALC_SPEED_COUNT_PLI,1634104862,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:48.640,2016-07-21 18:22:41.787
CALC_SPEED_COUNT_PRD,347864306,FN,SQL_SCALAR_FUNCTION,2016-07-21 18:22:45.580,2016-07-21 18:22:45.580
CALC_SPEED_SUM_MDEs_PLI,1714105147,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:48.870,2015-05-10 09:40:48.870
CALC_SPEED_SUM_PLB,949578421,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:42.153,2015-05-10 09:40:42.153
CALC_SPEED_SUM_PLI,626101271,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.700,2015-05-10 09:40:45.700
CALC_STD_PLB,363864363,FN,SQL_SCALAR_FUNCTION,2016-07-21 18:22:45.610,2016-07-21 18:22:45.610
CALC_SUM_BY_COUNT_PLB,578101100,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.587,2015-05-10 09:40:45.587
CALC_SUM_BY_SPEED_PLB,594101157,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.620,2015-05-10 09:40:45.620
CALC_SUM_BY_SPEED_PLI,642101328,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.737,2015-05-10 09:40:45.737
CALC_SUM_BY_SUM_MDEs_PLI,658101385,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.777,2016-07-21 18:22:41.907
CALC_SUM_BY_SUM_PLB,674101442,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.817,2015-05-10 09:40:45.817
CALC_SUM_BY_SUM_PLI,690101499,FN,SQL_SCALAR_FUNCTION,2015-05-10 09:40:45.857,2016-07-21 18:22:41.983
CALC_SUM_CAT_PLI,1435868182,FN,SQL_SCALAR_FUNCTION,2017-05-29 11:02:06.327,2017-05-29 11:02:06.327
CALC_SUM_MDEs_PLB,1343343850,FN,SQL_SCALAR_FUNCTION,2016-01-17 20:06:40.233,2016-01-17 20:06:40.233
