ACT_Actions,ACT_cKey,PK_ACT_Actions,2121058592,2015-05-10 09:40:40.290,2015-05-10 09:40:40.290,1
ActionPlanProjects,ActionPlanProjectId,PK_ActionPlanProjects,635865332,2017-01-27 11:38:39.337,2017-01-27 11:38:39.337,1
ActionPlanTasks,ActionPlanTaskId,PK_ActionPlanTasks,667865446,2017-01-27 11:38:39.407,2017-01-27 11:38:39.407,1
APR_ApiRequests,APR_iID,PK_APR_ApiRequests,751341741,2015-11-24 14:32:37.673,2015-11-24 14:32:37.673,1
BMC_BatchMeasuresComputes,BMC_cID,PK_BMC_BatchMeasuresComputes,1630628852,2015-05-10 09:40:56.020,2015-05-10 09:40:56.020,1
BPA_BatchePauses,BPA_cID,PK_BPA_BatchePauses,837578022,2015-05-10 09:40:41.863,2015-05-10 09:40:41.863,1
CAT_Categories,CAT_cID,PK_CAT_Categories,469576711,2015-05-10 09:40:41.113,2015-05-10 09:40:41.113,1
CFO_CustomForms,CFO_cID,PK_CFO_CustomForms,1131151075,2015-05-10 09:41:02.093,2015-05-10 09:41:02.093,1
CLI_Clients,CLI_cID,PK_CLI_Clients,245575913,2015-05-10 09:40:40.793,2015-05-10 09:40:40.793,1
COM_Comments,COM_cId,PK_COM_Comments,254623950,2015-05-10 09:40:50.780,2015-05-10 09:40:50.780,1
ContactForm,ContactFormId,PK_ContactForm,271340031,2015-11-05 11:14:42.753,2015-11-05 11:14:42.753,1
COU_Countries,COU_cCode,PK_COU_Countries,181575685,2015-05-10 09:40:40.683,2015-05-10 09:40:40.683,1
CSE_ClientSensors,CSE_cID,PK_CSE_ClientSensors,501576825,2015-05-10 09:40:41.160,2015-05-10 09:40:41.160,1
DEV_Devices,DEV_cID,PK_DEV_Devices,437576597,2015-05-10 09:40:41.073,2015-05-10 09:40:41.073,1
DME_DayMeasures,DME_cID,PK_DME_DayMeasures,1298103665,2015-05-10 09:40:47.850,2015-05-10 09:40:47.850,1
DowntimeType,DowntimeTypeId,PK_DowntimeType,1417772108,2015-05-22 11:28:21.033,2015-05-22 11:28:21.033,1
DTH_DeviceThumbnails,DTH_cID,PK_DTH_DeviceThumbnails,1922105888,2015-05-10 09:40:49.800,2015-05-10 09:40:49.800,1
DVI_DeviceVideos,DVI_cID,PK_DVI_DeviceVideo,718625603,2015-05-10 09:40:52.883,2015-05-10 09:40:52.883,1
EMP_Employees,EMP_cID,PK_EMP_Employee,466100701,2015-05-10 09:40:45.303,2015-05-10 09:40:45.303,1
EmployeeCount,EmployeeCountId,PK_EmployeeCount,107863451,2016-07-21 18:22:36.807,2016-07-21 18:22:36.807,1
EmployeeSalary,EmployeeSalaryId,PK_EmployeeSalary,502292849,2015-09-09 09:56:53.837,2015-09-09 09:56:53.837,1
EMT_EmployeeTitle,EMT_cID,PK_EMT_EmployeeTitle,43863223,2016-04-15 15:10:06.157,2016-04-15 15:10:06.157,1
ENO_EmployeeNotes,ENO_iID,PK_ENO_EmployeeNotes,582293134,2015-10-16 10:12:48.333,2015-10-16 10:12:48.333,1
EPA_EmployeePauses,EPA_cID,PK_EPA_EmployeePauses,2034106287,2015-05-10 09:40:50.007,2015-05-10 09:40:50.007,1
EPR_EmployeeProductions,EPR_cID,PK_EPR_EmployeeProductions,2002106173,2015-05-10 09:40:49.963,2015-05-10 09:40:49.963,1
EstimationForm,EstimationFormId,PK_EstimationForm,687341513,2015-11-09 11:22:53.867,2015-11-09 11:22:53.867,1
ETE_EmployeeTimeEvents,ETE_cID,PK_ETE_EmployeeTimeEvents,498100815,2015-05-10 09:40:45.353,2015-05-10 09:40:45.353,1
ETP_EmployeeTimePauses,ETP_cID,PK_ETP_EmployeeTimePauses,1666104976,2015-05-10 09:40:48.683,2015-05-10 09:40:48.683,1
Event,EventId,PK_Event,374292393,2015-06-30 16:34:16.633,2015-06-30 16:34:16.633,1
FDA_FormData,FDA_cID,PK_FDA_FormData,1138103095,2015-05-10 09:40:47.440,2015-05-10 09:40:47.440,1
FDT_FormDataTables,FDT_cID,PK_FDT_FormDataTables,1438628168,2015-05-10 09:40:55.260,2015-05-10 09:40:55.260,1
FDV_FormDefinitionVersions,FDV_cID,PK_FDV_FormDefinitionVersions,1266103551,2015-05-10 09:40:47.807,2015-05-10 09:40:47.807,1
FieldType,FieldTypeId,PK__FieldTyp__74418AE259063A47,1509580416,2015-05-10 09:40:43.000,2015-05-10 09:40:43.000,1
FOD_FormDefinitions,FOD_cID,PK_FOD_FormDefinitions,309576141,2015-05-10 09:40:40.893,2015-05-10 09:40:40.893,1
GRO_Groups,GRO_cID,PK_GRO_Groups,5575058,2015-05-10 09:40:40.333,2015-05-10 09:40:40.333,1
HFD_HistoryFormDefinitionVersions,HFD_iNoSeq,PK_HFD_HistoryFormDefinitionVersions,1835153583,2015-05-10 09:41:04.613,2015-05-10 09:41:04.613,1
HME_HistoryMeasures,HME_iID,PK_HME_HistoryMeasures,1102626971,2015-05-10 09:40:53.893,2015-05-10 09:40:53.893,1
HNO_HistoryNotifications,HNO_cID,PK_HNO_HistoryNotifications,1406628054,2015-05-10 09:40:55.210,2015-05-10 09:40:55.210,1
HPR_HistoryProducts,HPR_cID,PK_HPR_HistoryProducts,2082106458,2015-05-10 09:40:50.107,2015-05-10 09:40:50.107,1
JAL_JobAgentLogs,JAL_cID,PK_JAL_JobAgentLog,411148510,2015-05-10 09:40:58.840,2015-05-10 09:40:58.840,1
JAT_JobAgentTasks,JAT_cID,PK_JAT_JobAgentTask,363148339,2015-05-10 09:40:58.703,2015-05-10 09:40:58.703,1
