Intervals,PK__Interval__3214EC07864B22B6,22150,161,141,139,1,1,1
Links,PK__Links__FF7285C029131422,208,9,2,1,0,0,0
VersionInfo,PK__VersionI__0F540135E4F8E39F,1,9,2,1,0,0,0
Zones,PK__Zones__3214EC07571F21A8,593,25,5,3,0,0,0
